epoch,step,train_MAE,train_loss,valid_MAE,valid_loss
0,26,,,0.012841879390180111,0.00016491841233801097
0,26,0.06300053000450134,,,
1,49,,1.849581053647853e-06,,
1,53,,,0.006456698291003704,4.169349267613143e-05
1,53,0.0096597820520401,,,
2,80,,,6.646231486229226e-05,5.8053739593333376e-09
2,80,0.002445661462843418,,,
3,99,,1.088367866941553e-06,,
3,107,,,0.00016718213737476617,3.248871038863399e-08
3,107,0.0009953046683222055,,,
4,134,,,0.00013404717901721597,2.250757269450787e-08
4,134,0.0008263658382929862,,,
5,149,,1.4526970062433975e-06,,
5,161,,,0.00026474110200069845,7.462713114136932e-08
5,161,0.000778845336753875,,,
6,188,,,8.535934466635808e-05,1.0452030352325892e-08
6,188,0.0008145760511979461,,,
7,199,,1.0918745374510763e-06,,
7,215,,,7.988852303242311e-05,9.013748858421877e-09
7,215,0.000794145162217319,,,
8,242,,,0.0001533656322862953,2.806006094147051e-08
8,242,0.0007871011621318758,,,
9,249,,1.7484892396169016e-06,,
9,269,,,0.000206115742912516,4.702274836176912e-08
9,269,0.0007795732235535979,,,
10,296,,,6.571333506144583e-05,5.659099411303714e-09
10,296,0.0007917198818176985,,,
11,299,,1.285372718484723e-06,,
11,323,,,0.0002612518728710711,7.279162161921704e-08
11,323,0.0008143449085764587,,,
12,349,,1.7734136008584755e-06,,
12,350,,,7.459913467755541e-05,8.549362107146408e-09
12,350,0.0008298697648569942,,,
13,377,,,0.00011347025429131463,1.7385252348844915e-08
13,377,0.0007833358831703663,,,
14,399,,1.8278030893270625e-06,,
14,404,,,5.934504952165298e-05,5.601862529402979e-09
14,404,0.0008233885746449232,,,
15,431,,,0.00033220936893485487,1.1490210738429596e-07
15,431,0.0007939542410895228,,,
16,449,,1.0284292102369363e-06,,
16,458,,,0.00017788744298741221,3.618303878738516e-08
16,458,0.0007919904310256243,,,
17,485,,,0.0003205838438589126,1.0731269384223197e-07
17,485,0.0008029262535274029,,,
18,499,,1.5283649190678261e-06,,
18,512,,,0.0005070420447736979,2.6163058919337345e-07
18,512,0.0008077346137724817,,,
19,539,,,0.00031636341009289026,1.0462476041084301e-07
19,539,0.0007940922514535487,,,
20,549,,1.5529674328718102e-06,,
20,566,,,0.00031328463228419423,1.0268629324627909e-07
20,566,0.0007873948197811842,,,
21,593,,,0.0003876076953019947,1.5477893100523943e-07
21,593,0.0007853843853808939,,,
22,599,,7.489307449759508e-07,,
22,620,,,0.00019487555255182087,4.251551999345793e-08
22,620,0.0008219204028137028,,,
23,647,,,0.00022923763026483357,5.7088957561290954e-08
23,647,0.0007921757642179728,,,
24,649,,1.0405385637568543e-06,,
24,674,,,0.00023400495410896838,5.929736701659749e-08
24,674,0.0008148897322826087,,,
