epoch,step,train_MAE,train_loss,valid_MAE,valid_loss
0,26,,,0.036341164261102676,0.0013267223257571459
0,26,0.07040580362081528,,,
1,49,,0.0014565183082595468,,
1,53,,,0.006825512740761042,5.123533992446028e-05
1,53,0.0370507575571537,,,
2,80,,,0.03922968730330467,0.001542674726806581
2,80,0.028153058141469955,,,
3,99,,0.0006720448145642877,,
3,107,,,0.012428189627826214,0.0001978379295906052
3,107,0.023120054975152016,,,
4,134,,,0.0033649224787950516,1.9515864551067352e-05
4,134,0.020724158734083176,,,
5,149,,0.0010868964018300176,,
5,161,,,0.014641755260527134,0.00021926022600382566
5,161,0.01992100104689598,,,
6,188,,,0.008012666366994381,0.0001088862627511844
6,188,0.01704399287700653,,,
7,199,,0.0002654485870152712,,
7,215,,,0.006725837476551533,5.491014235303737e-05
7,215,0.015246440656483173,,,
8,242,,,0.005164129193872213,3.4796339605236426e-05
8,242,0.015924818813800812,,,
9,249,,0.00015749814338050783,,
9,269,,,0.0018266248516738415,5.1089018597849645e-06
9,269,0.013954008929431438,,,
10,296,,,0.007568024564534426,6.252993625821546e-05
10,296,0.012671848759055138,,,
11,299,,0.00023883803805802017,,
11,323,,,0.0023081947583705187,6.661707175226184e-06
11,323,0.009336964227259159,,,
12,349,,0.0001240893907379359,,
12,350,,,0.013577518053352833,0.00018754038319457322
12,350,0.00986341293901205,,,
13,377,,,0.004163775593042374,2.3403170416713692e-05
13,377,0.01223631389439106,,,
14,399,,9.943064651452005e-05,,
14,404,,,0.015412342734634876,0.00024022049910854548
14,404,0.010171241126954556,,,
15,431,,,0.004181882832199335,1.8955666746478528e-05
15,431,0.009429740719497204,,,
16,449,,0.0001829124812502414,,
16,458,,,0.0012855867389589548,2.7653520646708785e-06
16,458,0.006624478846788406,,,
17,485,,,0.0009725603740662336,1.7072096625270206e-06
17,485,0.00566405663266778,,,
18,499,,7.777719292789698e-05,,
18,512,,,0.005502608139067888,3.1445928470930085e-05
18,512,0.006148411426693201,,,
19,539,,,0.005670161917805672,3.3885797165567055e-05
19,539,0.0061684115789830685,,,
20,549,,7.091167208272964e-05,,
20,566,,,0.014901766553521156,0.00022394293046090752
20,566,0.007039422169327736,,,
21,593,,,0.0019786381162703037,4.961356353305746e-06
21,593,0.0059083858504891396,,,
22,599,,6.898683932377025e-05,,
22,620,,,0.002817879430949688,9.793722711037844e-06
22,620,0.005195477046072483,,,
23,647,,,0.005417475476861,3.123829810647294e-05
23,647,0.00482637993991375,,,
24,649,,8.958380021795165e-06,,
24,674,,,0.0011980760609731078,2.2870938209962333e-06
24,674,0.005548636894673109,,,
25,699,,3.793292125919834e-05,,
25,701,,,0.0019274387741461396,6.1116975302866194e-06
25,701,0.005268925800919533,,,
26,728,,,0.0017751589184626937,4.920474111713702e-06
26,728,0.0038566410075873137,,,
27,749,,1.838940806919709e-05,,
27,755,,,0.007996250875294209,6.704562838422135e-05
27,755,0.00549913989380002,,,
