epoch,step,train_MAE,train_loss,valid_MAE,valid_loss
0,26,,,0.00626453896984458,4.0796974644763395e-05
0,26,0.03266323357820511,,,
1,49,,0.0001906262623379007,,
1,53,,,0.012719878926873207,0.000166114725288935
1,53,0.01162604708224535,,,
2,80,,,0.0046826740726828575,2.4162016416084953e-05
2,80,0.007361144293099642,,,
3,99,,3.901722448063083e-05,,
3,107,,,0.0008667469373904169,1.1866550266859122e-06
3,107,0.004561426118016243,,,
4,134,,,0.001672118902206421,3.6404010188562097e-06
4,134,0.0031773122027516365,,,
5,149,,1.3365694940148387e-05,,
5,161,,,0.002855141879990697,8.952679309004452e-06
5,161,0.004901697859168053,,,
6,188,,,0.0020230174995958805,4.85709824715741e-06
6,188,0.004858830012381077,,,
7,199,,0.00022686777811031789,,
7,215,,,0.005605202168226242,3.409708006074652e-05
7,215,0.007294736336916685,,,
8,242,,,0.003296799724921584,1.177483682113234e-05
8,242,0.006480678450316191,,,
9,249,,3.2355295843444765e-05,,
9,269,,,0.0032100777607411146,1.131680346588837e-05
9,269,0.004516705870628357,,,
10,296,,,0.0007336207781918347,8.586225703766104e-07
10,296,0.0037996345199644566,,,
11,299,,2.0953644707333297e-05,,
11,323,,,0.000826393545139581,1.0819752560564666e-06
11,323,0.003798262681812048,,,
12,349,,8.913602869142778e-06,,
12,350,,,0.009366714395582676,8.893107587937266e-05
12,350,0.0029526592697948217,,,
13,377,,,0.003870447399094701,1.6109503121697344e-05
13,377,0.005485620815306902,,,
14,399,,0.00022238123347051442,,
14,404,,,0.001991409808397293,5.026332473789807e-06
14,404,0.006341740023344755,,,
15,431,,,0.005332299508154392,3.1034094718052074e-05
15,431,0.007163429632782936,,,
16,449,,8.276935841422528e-05,,
16,458,,,0.011066757142543793,0.0001242360012838617
16,458,0.006725925020873547,,,
17,485,,,0.0019650589674711227,4.702871592598967e-06
17,485,0.0038830339908599854,,,
18,499,,1.818014425225556e-05,,
18,512,,,0.005098245572298765,2.7081900043413043e-05
18,512,0.0036617922596633434,,,
19,539,,,0.0030009900219738483,9.982954907172825e-06
19,539,0.00498521002009511,,,
20,549,,2.5150107830995694e-05,,
20,566,,,0.0026131137274205685,8.246071047324222e-06
20,566,0.00512152723968029,,,
21,593,,,0.011789431795477867,0.00014051978359930217
21,593,0.010201185010373592,,,
22,599,,9.897441486828029e-05,,
22,620,,,0.0010115224868059158,1.4820036540186265e-06
22,620,0.00706592109054327,,,
23,647,,,0.003041365882381797,1.0067123184853699e-05
23,647,0.003908572252839804,,,
24,649,,5.939718539593741e-05,,
24,674,,,0.002402287907898426,6.5898038883460686e-06
24,674,0.004269180819392204,,,
25,699,,5.755402526119724e-05,,
25,701,,,0.0023583113215863705,6.373438736773096e-06
25,701,0.004103061743080616,,,
26,728,,,0.014814895577728748,0.000220611720578745
26,728,0.009969792328774929,,,
27,749,,0.00023302918998524547,,
27,755,,,0.004453036934137344,2.404679798928555e-05
27,755,0.008975951001048088,,,
28,782,,,0.005678746849298477,3.3500684367027134e-05
28,782,0.005308249499648809,,,
29,799,,2.76824866887182e-05,,
29,809,,,0.005319942720234394,2.934830990852788e-05
29,809,0.003822291735559702,,,
30,836,,,0.002038447419181466,4.98790586789255e-06
30,836,0.0043761953711509705,,,
