epoch,step,train_MAE,train_loss,valid_MAE,valid_loss
0,26,,,0.11638380587100983,0.013556739315390587
0,26,0.45335623621940613,,,
1,49,,0.0038256680127233267,,
1,53,,,0.09938479959964752,0.009888889268040657
1,53,0.08698670566082001,,,
2,80,,,0.02263769693672657,0.0005240151658654213
2,80,0.06404139846563339,,,
3,99,,0.011786798015236855,,
3,107,,,0.0483144074678421,0.002345832297578454
3,107,0.056743770837783813,,,
4,134,,,0.09303964674472809,0.008667927235364914
4,134,0.05359601229429245,,,
5,149,,0.006660133600234985,,
5,161,,,0.028587454929947853,0.000828792282845825
5,161,0.05612240731716156,,,
6,188,,,0.0670623779296875,0.0045089116320014
6,188,0.055091772228479385,,,
7,199,,0.005542921833693981,,
7,215,,,0.01772037148475647,0.00032556126825511456
7,215,0.05505695566534996,,,
8,242,,,0.012028376571834087,0.00015623157378286123
8,242,0.055474136024713516,,,
9,249,,0.00920312199741602,,
9,269,,,0.008984201587736607,9.226558177033439e-05
9,269,0.056602660566568375,,,
10,296,,,0.07440973073244095,0.005548357032239437
10,296,0.05746731162071228,,,
11,299,,0.011650513857603073,,
11,323,,,0.058859989047050476,0.0034760478883981705
11,323,0.05745597556233406,,,
12,349,,0.006137936841696501,,
12,350,,,0.02781531773507595,0.0007852415437810123
12,350,0.06082605943083763,,,
13,377,,,0.027650069445371628,0.0007760760490782559
13,377,0.06576438248157501,,,
14,399,,0.004689962603151798,,
14,404,,,0.0903867557644844,0.008181317709386349
14,404,0.05690816417336464,,,
15,431,,,0.055222515016794205,0.003061075462028384
15,431,0.0649944543838501,,,
16,449,,0.006868944503366947,,
16,458,,,0.07464057207107544,0.005582764279097319
16,458,0.06206195056438446,,,
17,485,,,0.05020469054579735,0.0025320604909211397
17,485,0.06319014728069305,,,
18,499,,0.011197198182344437,,
18,512,,,0.020711490884423256,0.0004405155195854604
18,512,0.07354553788900375,,,
19,539,,,0.02442209981381893,0.0006079886807128787
19,539,0.06080819293856621,,,
20,549,,0.009523027576506138,,
20,566,,,0.13873696327209473,0.019259493798017502
20,566,0.0722668245434761,,,
21,593,,,0.02817516215145588,0.000805389485321939
21,593,0.07029935717582703,,,
22,599,,0.007077259011566639,,
22,620,,,0.06836418807506561,0.004685211461037397
22,620,0.05729392170906067,,,
23,647,,,0.07704415172338486,0.0059473514556884766
23,647,0.05640263110399246,,,
24,649,,0.006070345640182495,,
24,674,,,0.0749167874455452,0.005624074023216963
24,674,0.05845452845096588,,,
25,699,,0.010595692321658134,,
25,701,,,0.10146693140268326,0.010307087562978268
25,701,0.06085388734936714,,,
26,728,,,0.0390542596578598,0.0015367850428447127
26,728,0.06565361469984055,,,
27,749,,0.004380383063107729,,
27,755,,,0.03660952299833298,0.0013518069172278047
27,755,0.05503220483660698,,,
28,782,,,0.04568801075220108,0.0020989440381526947
28,782,0.05903634801506996,,,
29,799,,0.011352254077792168,,
29,809,,,0.09321035444736481,0.008699720725417137
29,809,0.06250490993261337,,,
