covidOccupiedMVBeds,cumAdmissions,hospitalCases,newAdmissions
122.0,903558,5010.0,542
124.0,904074,4842.0,516
129.0,904511,4771.0,437
123.0,904906,4696.0,395
120.0,905340,4706.0,434
103.0,905843,4709.0,503
134.0,906390,4678.0,547
117.0,906926,4600.0,536
122.0,907448,4701.0,522
129.0,907891,4638.0,443
125.0,908329,4568.0,438
128.0,908886,4639.0,557
111.0,909525,4775.0,639
117.0,910186,4847.0,661
128.0,910776,4964.0,590
134.0,911359,4990.0,583
135.0,911827,5027.0,468
124.0,912325,5022.0,498
127.0,912914,5155.0,589
129.0,913638,5285.0,724
127.0,914417,5382.0,779
119.0,915165,5501.0,748
118.0,915862,5632.0,697
113.0,916469,5771.0,607
112.0,917051,5920.0,582
118.0,917923,6057.0,872
129.0,918888,6171.0,965
142.0,919914,6369.0,1026
150.0,920877,6720.0,963
155.0,921941,6924.0,1064
156.0,922775,7157.0,834
163.0,923574,7396.0,799
166.0,924750,7688.0,1176
175.0,926046,8006.0,1296
171.0,927422,8340.0,1376
174.0,928715,8643.0,1293
180.0,929951,8919.0,1236
178.0,930850,9047.0,899
177.0,931630,9044.0,780
162.0,932474,8979.0,844
178.0,933462,9178.0,988
187.0,934596,9250.0,1134
209.0,935841,9459.0,1245
213.0,937066,9535.0,1225
223.0,938006,9530.0,940
208.0,938729,9360.0,723
220.0,939513,9417.0,784
227.0,940429,9431.0,916
218.0,941421,9291.0,992
212.0,942343,9332.0,922
202.0,943242,9072.0,899
209.0,943947,8671.0,705
202.0,944575,8547.0,628
189.0,945351,8396.0,776
195.0,946088,8368.0,737
191.0,946749,8034.0,661
182.0,947441,7743.0,692
169.0,948105,7421.0,664
166.0,948615,7164.0,510
147.0,949032,6863.0,417
137.0,949599,6780.0,567
153.0,950198,6721.0,599
148.0,950763,6593.0,565
146.0,951358,6299.0,595
142.0,951976,5996.0,618
133.0,952423,5888.0,447
138.0,952916,5706.0,493
146.0,953506,5697.0,590
142.0,954123,5817.0,617
136.0,954818,5639.0,695
126.0,955524,5632.0,706
133.0,956178,5683.0,654
131.0,956736,5708.0,558
140.0,957298,5750.0,562
145.0,958003,5834.0,705
142.0,958744,5959.0,741
136.0,959496,6015.0,752
136.0,960276,6055.0,780
142.0,960989,6197.0,713
139.0,961562,6288.0,573
137.0,962230,6203.0,668
134.0,962977,6332.0,747
128.0,963802,6484.0,825
132.0,964619,6405.0,817
117.0,965387,6382.0,768
118.0,966205,6403.0,818
133.0,966848,6455.0,643
128.0,967591,6473.0,743
123.0,968457,6725.0,866
129.0,969406,6953.0,949
140.0,970318,7031.0,912
137.0,971296,7209.0,978
139.0,972255,7277.0,959
134.0,973040,7371.0,785
137.0,973789,7484.0,749
146.0,974701,7665.0,912
149.0,975684,7919.0,983
154.0,976651,7906.0,967
164.0,977530,8015.0,879
155.0,978375,8107.0,845
156.0,979040,7598.0,665
156.0,979769,7486.0,729
163.0,980662,7580.0,893
168.0,981595,7622.0,933
169.0,982537,7598.0,942
175.0,983530,7507.0,993
166.0,984477,7522.0,947
158.0,985227,7468.0,750
141.0,985970,7330.0,743
147.0,986844,7470.0,874
152.0,987883,7572.0,1039
158.0,988928,7588.0,1045
166.0,990050,7655.0,1122
167.0,991028,7619.0,978
180.0,991811,7935.0,783
167.0,992681,7866.0,870
188.0,993752,7989.0,1071
174.0,994941,8253.0,1189
183.0,996041,8362.0,1100
184.0,997052,8434.0,1011
179.0,998128,8378.0,1076
172.0,998970,8340.0,842
176.0,999823,8339.0,853
174.0,1000872,8441.0,1049
175.0,1001891,8631.0,1019
173.0,1002956,8576.0,1065
172.0,1003984,8387.0,1028
176.0,1004995,8403.0,1011
170.0,1005757,8304.0,762
178.0,1006487,8234.0,730
179.0,1007312,8265.0,825
179.0,1008198,8316.0,886
185.0,1009132,8080.0,934
192.0,1010153,7963.0,1021
193.0,1011000,7777.0,847
186.0,1011699,7759.0,699
164.0,1012417,7520.0,718
170.0,1013188,7556.0,771
166.0,1013958,7566.0,770
165.0,1014744,7455.0,786
165.0,1015518,7005.0,774
137.0,1016137,6829.0,619
144.0,1016657,6599.0,520
145.0,1017183,6462.0,526
136.0,1017795,6372.0,612
143.0,1018514,7029.0,719
138.0,1019237,6593.0,723
135.0,1019865,6428.0,628
138.0,1020485,6277.0,620
143.0,1020977,6013.0,492
142.0,1021486,5793.0,509
152.0,1022062,5764.0,576
134.0,1022721,5756.0,659
126.0,1023278,5619.0,557
118.0,1023844,5590.0,566
114.0,1024337,5412.0,493
112.0,1024765,5182.0,428
109.0,1025176,4988.0,411
120.0,1025746,4978.0,570
99.0,1026271,5043.0,525
96.0,1026782,4924.0,511
101.0,1027321,4809.0,539
105.0,1027846,4710.0,525
94.0,1028250,4631.0,404
94.0,1028644,4395.0,394
110.0,1029072,4554.0,428
110.0,1029589,4592.0,517
118.0,1030094,4646.0,505
124.0,1030544,4585.0,450
113.0,1030987,4431.0,443
100.0,1031393,4350.0,406
104.0,1031775,4253.0,382
107.0,1032135,4224.0,360
102.0,1032591,4292.0,456
97.0,1033048,4223.0,457
100.0,1033507,4207.0,459
88.0,1033913,3980.0,406
102.0,1034222,3928.0,309
105.0,1034493,3825.0,271
99.0,1034838,3802.0,345
96.0,1035212,3719.0,374
102.0,1035595,3632.0,383
89.0,1035945,3550.0,350
90.0,1036288,3471.0,343
92.0,1036541,3362.0,253
88.0,1036788,3246.0,247
84.0,1037116,3207.0,328
81.0,1037480,3133.0,364
85.0,1037861,3114.0,381
81.0,1038201,3116.0,340
82.0,1038523,3009.0,322
79.0,1038769,2983.0,246
79.0,1038988,2820.0,219
75.0,1039245,2772.0,257
67.0,1039544,2831.0,299
69.0,1039861,2775.0,317
77.0,1040151,2780.0,290
