covidOccupiedMVBeds,cumAdmissions,hospitalCases,newAdmissions
1010.0,157907,12033.0,1592
1081.0,159618,12730.0,1711
1088.0,161284,12967.0,1666
1158.0,162717,13328.0,1433
1162.0,164105,13399.0,1388
1194.0,165572,13886.0,1467
1198.0,167132,14313.0,1560
1228.0,168623,14411.0,1491
1242.0,170194,14490.0,1571
1241.0,171678,14479.0,1484
1241.0,172994,14236.0,1316
1248.0,174249,14118.0,1255
1259.0,175582,14354.0,1333
1299.0,176967,14712.0,1385
1306.0,178244,14506.0,1277
1300.0,179659,14240.0,1415
1264.0,180857,13908.0,1198
1242.0,181912,13754.0,1055
1204.0,182977,13208.0,1065
1214.0,184192,13521.0,1215
1185.0,185408,13756.0,1216
1182.0,186679,13507.0,1271
1149.0,187941,13212.0,1262
1094.0,189278,12896.0,1337
1113.0,190526,12987.0,1248
1086.0,191712,12968.0,1186
1087.0,193023,13189.0,1311
1109.0,194489,13616.0,1466
1118.0,196017,13629.0,1528
1094.0,197567,13467.0,1550
1110.0,199091,13796.0,1524
1117.0,200541,13901.0,1450
1087.0,202128,13927.0,1587
1123.0,203709,14460.0,1581
1127.0,205455,15053.0,1746
1159.0,207185,15031.0,1730
1163.0,208981,15465.0,1796
1188.0,210854,15741.0,1873
1190.0,212526,15866.0,1672
1239.0,214338,16183.0,1812
1267.0,216314,16633.0,1976
1327.0,218429,17709.0,2115
1339.0,220632,18063.0,2203
1374.0,222612,17834.0,1980
1427.0,224407,18227.0,1795
1437.0,226359,17701.0,1952
1498.0,228657,18350.0,2298
1556.0,231229,19277.0,2572
1641.0,234024,20426.0,2795
1728.0,236910,21787.0,2886
1854.0,239771,22713.0,2861
1899.0,242307,22728.0,2536
1940.0,245317,22534.0,3010
2017.0,248462,23557.0,3145
2181.0,251813,24957.0,3351
2310.0,255400,26626.0,3587
2378.0,259097,26467.0,3697
2550.0,263064,27727.0,3967
2654.0,266913,28246.0,3849
2814.0,270462,29346.0,3549
2860.0,274180,29462.0,3718
2963.0,277751,30758.0,3571
3055.0,281645,32070.0,3894
3175.0,285779,32202.0,4134
3307.0,289619,32689.0,3840
3351.0,293297,32925.0,3678
3464.0,296592,33362.0,3295
3525.0,300161,32923.0,3569
3533.0,303585,33352.0,3424
3570.0,307296,34336.0,3711
3603.0,311064,34015.0,3768
3603.0,314743,33886.0,3679
3607.0,317980,33235.0,3237
3727.0,320996,33412.0,3016
3731.0,323776,32614.0,2780
3736.0,326600,32907.0,2824
3694.0,329248,32938.0,2648
3634.0,332047,32337.0,2799
3602.0,334789,30846.0,2742
3585.0,337508,30333.0,2719
3506.0,339887,29359.0,2379
3486.0,342080,28571.0,2193
3366.0,344263,28112.0,2183
3414.0,346610,28539.0,2347
3324.0,348832,27397.0,2222
3328.0,350928,26374.0,2096
3275.0,352835,25334.0,1907
3217.0,354592,24402.0,1757
3099.0,356271,23042.0,1679
3047.0,357946,22991.0,1675
2980.0,359685,23020.0,1739
2911.0,361216,22067.0,1531
2872.0,362751,20926.0,1535
2780.0,364191,19983.0,1440
2688.0,365509,19009.0,1318
2592.0,366749,17694.0,1240
2611.0,368113,17787.0,1364
2577.0,369435,17730.0,1322
2484.0,370746,17093.0,1311
2393.0,371979,16458.0,1233
2316.0,373128,15633.0,1149
2251.0,374196,15018.0,1068
2142.0,375100,14316.0,904
2122.0,376108,14142.0,1008
2072.0,377088,14137.0,980
1950.0,378064,13489.0,976
1931.0,378938,13007.0,874
1866.0,379770,12449.0,832
1808.0,380488,11781.0,718
1747.0,381112,11090.0,624
1630.0,381774,10663.0,662
1658.0,382478,10765.0,704
1556.0,383161,10121.0,683
1507.0,383768,9594.0,607
1454.0,384364,9092.0,596
1417.0,384851,8594.0,487
1326.0,385379,8021.0,528
1273.0,385840,7812.0,461
1236.0,386341,7847.0,501
1187.0,386824,7451.0,483
1137.0,387318,6975.0,494
1101.0,387767,6687.0,449
1023.0,388153,6391.0,386
1000.0,388538,6072.0,385
963.0,388895,6039.0,357
930.0,389326,5976.0,431
882.0,389690,5664.0,364
846.0,390033,5397.0,343
797.0,390384,5083.0,351
749.0,390667,4841.0,283
710.0,390954,4589.0,287
692.0,391233,4492.0,279
676.0,391527,4501.0,294
647.0,391822,4245.0,295
613.0,392099,4005.0,277
566.0,392387,3763.0,288
559.0,392632,3712.0,245
537.0,392849,3676.0,217
532.0,393070,3438.0,221
532.0,393276,3466.0,206
518.0,393493,3283.0,217
501.0,393718,3084.0,225
470.0,393898,2928.0,180
436.0,394076,2784.0,178
433.0,394255,2677.0,179
422.0,394411,2672.0,156
416.0,394599,2680.0,188
406.0,394782,2588.0,183
393.0,394971,2486.0,189
377.0,395138,2382.0,167
