epoch,step,train_MAE,train_loss,valid_MAE,valid_loss
0,26,,,0.011273350566625595,0.00012709743168670684
0,26,0.04294821247458458,,,
1,49,,2.982239948323695e-06,,
1,53,,,0.00487894844263792,2.3812697691028006e-05
1,53,0.0064460705034434795,,,
2,80,,,0.0005996041581965983,3.703227946516563e-07
2,80,0.0018082333263009787,,,
3,99,,4.1424198116146727e-07,,
3,107,,,0.0004887139075435698,2.677082591162616e-07
3,107,0.0006528940284624696,,,
4,134,,,0.0004007855604868382,2.0177741077986866e-07
4,134,0.0004569854645524174,,,
5,149,,2.9311107141438697e-07,,
5,161,,,0.0004531550221145153,2.529681069063372e-07
5,161,0.0004506753757596016,,,
6,188,,,0.0006066071800887585,4.221772655910172e-07
6,188,0.00044486200204119086,,,
7,199,,4.2587910797919903e-07,,
7,215,,,0.0005835927440784872,3.964038342019194e-07
7,215,0.0004602838889695704,,,
8,242,,,0.000522314221598208,3.278199187661812e-07
8,242,0.00044395585427992046,,,
9,249,,1.817319486008273e-07,,
9,269,,,0.0003646834520623088,1.7602165769403655e-07
9,269,0.0004540742083918303,,,
10,296,,,0.0003176600730512291,1.345165259181158e-07
10,296,0.000458967057056725,,,
11,299,,2.83002179912728e-07,,
11,323,,,0.0008037982042878866,7.019043550826609e-07
11,323,0.0004717197734862566,,,
12,349,,2.8496191362137324e-07,,
12,350,,,0.0006537518347613513,4.848737944485038e-07
12,350,0.00045366285485215485,,,
13,377,,,0.0005311968270689249,3.366379530689301e-07
13,377,0.0004335016419645399,,,
14,399,,2.468592867899133e-07,,
14,404,,,0.0008009669836610556,6.978922897360462e-07
14,404,0.00043062708573415875,,,
15,431,,,0.0007162446854636073,5.716170790037722e-07
15,431,0.0004369640664663166,,,
16,449,,1.6958622950369318e-07,,
16,458,,,0.0008908065501600504,8.521653285242792e-07
16,458,0.0004352903924882412,,,
17,485,,,0.0005667115328833461,3.796205305661715e-07
17,485,0.0004285360046196729,,,
18,499,,2.0972460390566994e-07,,
18,512,,,0.0004998170770704746,3.0714926424479927e-07
18,512,0.0004149511514697224,,,
19,539,,,0.0007473314180970192,6.158715564197337e-07
19,539,0.000416066701291129,,,
20,549,,2.939397063528304e-07,,
20,566,,,0.0006064712652005255,4.2906640373985283e-07
20,566,0.0004243311414029449,,,
21,593,,,0.001079121488146484,1.2260923085705144e-06
21,593,0.00040650408482179046,,,
22,599,,1.6834616189953522e-07,,
22,620,,,0.0010119137587025762,1.0879641649808036e-06
22,620,0.00045802557724528015,,,
23,647,,,0.0007662354619242251,6.50523816148052e-07
23,647,0.0004046082904096693,,,
24,649,,2.432003896046808e-07,,
24,674,,,0.0008796845795586705,8.352778877451783e-07
24,674,0.00042102867155335844,,,
25,699,,2.749087286701979e-07,,
25,701,,,0.0004847818345297128,2.9820938607372227e-07
25,701,0.0004053727607242763,,,
26,728,,,0.00071930285776034,5.759400210081367e-07
26,728,0.000425467558670789,,,
27,749,,3.4782721058945754e-07,,
27,755,,,0.0009634324815124273,9.895912853608024e-07
27,755,0.00043553317664191127,,,
28,782,,,0.0006154571892693639,4.4302757373770874e-07
28,782,0.0004264979506842792,,,
29,799,,2.3311636709877348e-07,,
29,809,,,0.0004474026500247419,2.6060735081046005e-07
29,809,0.0003919140435755253,,,
30,836,,,0.0005348225240595639,3.504258074826794e-07
