date,susceptible,active_cases,recovered,cumulative_deceased
2020-04-23,56054284.0,95333.125,-0.18478963,21681.988
2020-04-24,56051788.0,97976.8,-259.3352,21945.496
2020-04-25,56048690.0,104142.54,-7619.7017,21821.844
2020-04-26,56050524.0,91676.33,-1479.072,22417.195
2020-04-27,56047748.0,92247.664,-2106.6084,22669.924
2020-04-28,56044732.0,93693.94,-1564.194,23045.139
2020-04-29,56041820.0,95379.07,-780.27527,23472.074
2020-04-30,56038748.0,97261.4,-63.777,23924.092
2020-05-01,56035450.0,99377.81,468.16113,24383.432
2020-05-02,56031996.0,101744.41,769.1383,24839.09
2020-05-03,56028476.0,104346.234,823.179,25285.812
2020-05-04,56024980.0,107147.58,630.8186,25722.363
2020-05-05,56021544.0,110098.47,210.05266,26149.693
2020-05-06,56018212.0,113133.43,-396.9458,26569.508
2020-05-07,56014996.0,116165.44,-1110.3934,26983.17
2020-05-08,56011920.0,119071.42,-1793.6431,27390.803
2020-05-09,56008990.0,121675.01,-2227.0527,27790.371
2020-05-10,56006228.0,123720.836,-2076.959,28177.613
2020-05-11,56003640.0,124847.59,-868.20685,28546.412
2020-05-12,56001210.0,124567.586,2026.5927,28890.736
2020-05-13,55998892.0,122279.51,7341.9336,29207.947
2020-05-14,55996588.0,117359.62,15772.164,29502.064
2020-05-15,55994176.0,109385.56,27672.482,29783.822
2020-05-16,55991612.0,98486.06,42661.613,30064.2
2020-05-17,55989020.0,85643.1,59368.086,30344.342
2020-05-18,55986604.0,72604.73,75702.586,30613.844
2020-05-19,55984496.0,61252.266,89697.95,30862.307
2020-05-20,55982612.0,52803.01,100333.62,31089.68
2020-05-21,55980760.0,47447.82,107712.086,31303.098
2020-05-22,55978816.0,44585.23,112624.836,31508.283
2020-05-23,55976772.0,43300.35,116012.91,31707.436
2020-05-24,55974696.0,42741.855,118644.75,31901.594
2020-05-25,55972680.0,42288.383,121032.38,32092.518
2020-05-26,55970804.0,41569.094,123461.59,32282.494
2020-05-27,55969110.0,40417.215,126058.16,32473.523
2020-05-28,55967628.0,38808.504,128844.984,32666.633
2020-05-29,55966350.0,36805.508,131788.1,32861.844
2020-05-30,55965268.0,34514.707,134826.39,33058.29
2020-05-31,55964344.0,32055.904,137892.28,33254.617
2020-06-01,55963556.0,29542.43,140923.31,33449.293
2020-06-02,55962868.0,27070.672,143867.86,33640.84
2020-06-03,55962260.0,24715.54,146687.69,33827.965
