date,susceptible,active_cases,recovered,cumulative_deceased
2020-05-01,-48.834747,-160.44582,50.325684,25822.047
2020-05-02,612518.3,-81475.03,-229392.11,-757757.0
2020-05-03,-552108.0,-557066.75,3235.1777,1019294.94
2020-05-04,-394139.34,-52862.42,100885.0,351676.34
2020-05-05,85967.28,-107258.52,183602.44,-52047.38
2020-05-06,380671.16,22917.805,101799.02,-64451.98
2020-05-07,336806.4,326825.5,-55704.254,8566.091
2020-05-08,9827.136,453975.2,-143790.31,41768.906
2020-05-09,-358676.56,219191.73,-113485.26,7581.758
2020-05-10,-482066.38,-268042.9,-25718.936,-73073.26
2020-05-11,-210343.66,-687144.3,-2220.5032,-161696.69
2020-05-12,337820.88,-714149.9,-147011.16,-240573.88
2020-05-13,743969.44,-252306.98,-449864.22,-314854.16
2020-05-14,435508.34,462871.0,-696717.44,-357793.2
2020-05-15,-834050.7,981619.3,-513998.2,-235938.47
2020-05-16,-2253275.0,912629.0,296008.88,268937.16
2020-05-17,-1908786.2,231171.14,1370140.2,1136745.2
2020-05-18,1844936.5,-591324.25,1961750.9,1799860.8
2020-05-19,8938287.0,-996032.4,1640682.8,1641124.5
2020-05-20,17708656.0,-871279.8,655677.0,725440.3
2020-05-21,26249218.0,-483963.34,-433814.4,-385200.47
2020-05-22,33445608.0,-101988.664,-1246723.0,-1243966.4
2020-05-23,39034696.0,163191.08,-1689149.6,-1723548.2
2020-05-24,43204736.0,308588.56,-1826855.0,-1887165.0
2020-05-25,46269830.0,368058.7,-1763794.5,-1845777.9
2020-05-26,48520708.0,375652.94,-1588599.1,-1693112.5
2020-05-27,50184470.0,355813.1,-1362393.0,-1492087.8
2020-05-28,51426220.0,323743.62,-1123081.6,-1280141.5
2020-05-29,52363268.0,288064.9,-891967.75,-1077317.0
2020-05-30,53077844.0,253274.27,-680048.25,-893298.7
2020-05-31,53628588.0,221488.1,-491613.0,-731344.1
2020-06-01,54056764.0,193539.66,-327705.28,-591825.0
2020-06-02,54392436.0,169575.42,-187078.36,-473149.28
2020-06-03,54657436.0,149235.48,-67776.56,-373157.47
2020-06-04,54867868.0,132218.9,32705.73,-289512.62
2020-06-05,55035870.0,118088.8,116895.48,-219852.67
2020-06-06,55170572.0,106352.555,187092.8,-161998.02
2020-06-07,55278908.0,96704.26,245399.44,-114157.43
2020-06-08,55366404.0,88717.44,293722.97,-74569.85
2020-06-09,55437180.0,82226.36,333725.72,-42003.168
2020-06-10,55494572.0,76905.44,366758.62,-15144.944
2020-06-11,55541224.0,72505.24,393985.12,6975.7573
2020-06-12,55579164.0,68910.664,416410.5,25165.824
2020-06-13,55610100.0,66019.61,434936.22,40068.086
2020-06-14,55635292.0,63613.184,450146.5,52348.81
2020-06-15,55655828.0,61657.492,462603.84,62433.195
2020-06-16,55672630.0,60091.01,472924.28,70676.15
2020-06-17,55686356.0,58802.004,481336.3,77479.43
2020-06-18,55697572.0,57716.812,488301.12,83057.31
2020-06-19,55706772.0,56836.688,493984.47,87664.26
2020-06-20,55714250.0,56155.773,498652.53,91397.35
2020-06-21,55720400.0,55569.023,502501.12,94464.19
2020-06-22,55725428.0,55092.76,505675.1,96998.68
2020-06-23,55729548.0,54716.94,508248.1,99037.65
2020-06-24,55732916.0,54411.01,510390.84,100755.21
2020-06-25,55735704.0,54138.145,512113.44,102148.01
2020-06-26,55737950.0,53928.89,513569.0,103313.14
2020-06-27,55739796.0,53787.434,514729.94,104217.12
2020-06-28,55741320.0,53626.31,515699.22,104993.87
2020-06-29,55742564.0,53528.793,516480.16,105640.05
2020-06-30,55743564.0,53435.047,517142.25,106128.87
2020-07-01,55744480.0,53324.145,517700.53,106597.59
2020-07-02,55745096.0,53294.848,518112.34,106905.62
2020-07-03,55745630.0,53254.254,518449.66,107170.12
2020-07-04,55746108.0,53188.547,518735.1,107427.914
2020-07-05,55746496.0,53154.65,518991.22,107618.76
2020-07-06,55746784.0,53156.32,519217.22,107756.03
2020-07-07,55747070.0,53088.94,519362.0,107946.87
2020-07-08,55747270.0,53088.105,519501.78,108027.22
2020-07-09,55747468.0,53065.92,519610.6,108120.97
2020-07-10,55747560.0,53070.11,519696.8,108164.49
2020-07-11,55747696.0,53029.934,519757.1,108254.89
2020-07-12,55747796.0,53061.74,519834.94,108285.02
2020-07-13,55747850.0,53069.273,519875.1,108305.11
2020-07-14,55747916.0,53050.438,519916.94,108355.33
2020-07-15,55747988.0,53035.37,519956.28,108385.46
2020-07-16,55748028.0,53042.49,519982.25,108388.81
2020-07-17,55748050.0,53018.215,520016.56,108405.555
2020-07-18,55748092.0,53014.867,520012.38,108412.25
2020-07-19,55748116.0,53021.562,520070.12,108435.69
2020-07-20,55748116.0,53015.285,520046.7,108445.73
2020-07-21,55748108.0,53036.21,520068.44,108432.336
2020-07-22,55748140.0,53042.906,520072.62,108459.125
2020-07-23,55748144.0,53026.164,520081.0,108462.47
2020-07-24,55748176.0,53021.562,520091.88,108462.47
2020-07-25,55748188.0,53015.703,520078.5,108475.86
2020-07-26,55748184.0,53016.54,520101.1,108469.164
2020-07-27,55748188.0,53019.05,520089.38,108462.47
2020-07-28,55748188.0,53019.05,520089.38,108462.47
2020-07-29,55748196.0,53015.285,520082.7,108472.516
2020-07-30,55748220.0,53024.492,520116.16,108489.26
2020-07-31,55748220.0,53024.492,520116.16,108489.26
2020-08-01,55748216.0,53004.402,520100.25,108489.26
2020-08-02,55748216.0,53004.402,520100.25,108489.26
2020-08-03,55748216.0,53004.402,520100.25,108489.26
2020-08-04,55748216.0,53004.402,520100.25,108489.26
2020-08-05,55748216.0,53004.402,520100.25,108489.26
2020-08-06,55748216.0,53004.402,520100.25,108489.26
2020-08-07,55748216.0,53004.402,520100.25,108489.26
2020-08-08,55748216.0,53004.402,520100.25,108489.26
2020-08-09,55748216.0,53004.402,520100.25,108489.26
2020-08-10,55748216.0,53004.402,520100.25,108489.26
2020-08-11,55748216.0,53004.402,520100.25,108489.26
2020-08-12,55748216.0,53004.402,520100.25,108489.26
2020-08-13,55748216.0,53004.402,520100.25,108489.26
2020-08-14,55748216.0,53004.402,520100.25,108489.26
2020-08-15,55748216.0,53004.402,520100.25,108489.26
2020-08-16,55748216.0,53004.402,520100.25,108489.26
2020-08-17,55748216.0,53004.402,520100.25,108489.26
2020-08-18,55748216.0,53004.402,520100.25,108489.26
2020-08-19,55748216.0,53004.402,520100.25,108489.26
2020-08-20,55748216.0,53004.402,520100.25,108489.26
2020-08-21,55748216.0,53004.402,520100.25,108489.26
2020-08-22,55748216.0,53004.402,520100.25,108489.26
2020-08-23,55748216.0,53004.402,520100.25,108489.26
2020-08-24,55748216.0,53004.402,520100.25,108489.26
