date,I_forecast,R_forecast,D_forecast
2022-01-01,2461.5623,315.64124,50.93888
2022-01-02,2461.7805,325.90762,50.937515
2022-01-03,2462.217,341.7152,50.93526
2022-01-04,2462.8215,363.40707,50.932095
2022-01-05,2463.6611,391.04227,50.928116
2022-01-06,2464.7356,424.9698,50.92321
2022-01-07,2465.9612,464.89978,50.91746
