areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
nation,England,E92000001,2023-05-08,34,192473
nation,England,E92000001,2023-05-07,45,192439
nation,England,E92000001,2023-05-06,37,192394
nation,England,E92000001,2023-05-05,39,192357
nation,England,E92000001,2023-05-04,42,192318
nation,England,E92000001,2023-05-03,43,192276
nation,England,E92000001,2023-05-02,43,192233
nation,England,E92000001,2023-05-01,44,192190
nation,England,E92000001,2023-04-30,34,192146
nation,England,E92000001,2023-04-29,41,192112
nation,England,E92000001,2023-04-28,40,192071
nation,England,E92000001,2023-04-27,42,192031
nation,England,E92000001,2023-04-26,51,191989
nation,England,E92000001,2023-04-25,44,191938
nation,England,E92000001,2023-04-24,41,191894
nation,England,E92000001,2023-04-23,54,191853
nation,England,E92000001,2023-04-22,45,191799
nation,England,E92000001,2023-04-21,74,191754
nation,England,E92000001,2023-04-20,54,191680
nation,England,E92000001,2023-04-19,64,191626
nation,England,E92000001,2023-04-18,54,191562
nation,England,E92000001,2023-04-17,52,191508
nation,England,E92000001,2023-04-16,58,191456
nation,England,E92000001,2023-04-15,60,191398
nation,England,E92000001,2023-04-14,63,191338
nation,England,E92000001,2023-04-13,75,191275
nation,England,E92000001,2023-04-12,63,191200
nation,England,E92000001,2023-04-11,57,191137
nation,England,E92000001,2023-04-10,67,191080
nation,England,E92000001,2023-04-09,56,191013
nation,England,E92000001,2023-04-08,59,190957
nation,England,E92000001,2023-04-07,76,190898
nation,England,E92000001,2023-04-06,89,190822
nation,England,E92000001,2023-04-05,51,190733
nation,England,E92000001,2023-04-04,83,190682
nation,England,E92000001,2023-04-03,79,190599
nation,England,E92000001,2023-04-02,61,190520
nation,England,E92000001,2023-04-01,60,190459
nation,England,E92000001,2023-03-31,62,190399
nation,England,E92000001,2023-03-30,88,190337
nation,England,E92000001,2023-03-29,78,190249
nation,England,E92000001,2023-03-28,95,190171
nation,England,E92000001,2023-03-27,85,190076
nation,England,E92000001,2023-03-26,69,189991
nation,England,E92000001,2023-03-25,94,189922
nation,England,E92000001,2023-03-24,94,189828
nation,England,E92000001,2023-03-23,91,189734
nation,England,E92000001,2023-03-22,86,189643
nation,England,E92000001,2023-03-21,102,189557
nation,England,E92000001,2023-03-20,74,189455
nation,England,E92000001,2023-03-19,77,189381
nation,England,E92000001,2023-03-18,83,189304
nation,England,E92000001,2023-03-17,94,189221
nation,England,E92000001,2023-03-16,83,189127
nation,England,E92000001,2023-03-15,91,189044
nation,England,E92000001,2023-03-14,82,188953
nation,England,E92000001,2023-03-13,86,188871
nation,England,E92000001,2023-03-12,83,188785
nation,England,E92000001,2023-03-11,81,188702
nation,England,E92000001,2023-03-10,77,188621
nation,England,E92000001,2023-03-09,78,188544
nation,England,E92000001,2023-03-08,80,188466
nation,England,E92000001,2023-03-07,78,188386
nation,England,E92000001,2023-03-06,78,188308
nation,England,E92000001,2023-03-05,83,188230
nation,England,E92000001,2023-03-04,84,188147
nation,England,E92000001,2023-03-03,64,188063
nation,England,E92000001,2023-03-02,90,187999
nation,England,E92000001,2023-03-01,63,187909
nation,England,E92000001,2023-02-28,71,187846
nation,England,E92000001,2023-02-27,70,187775
nation,England,E92000001,2023-02-26,77,187705
nation,England,E92000001,2023-02-25,65,187628
nation,England,E92000001,2023-02-24,71,187563
nation,England,E92000001,2023-02-23,68,187492
nation,England,E92000001,2023-02-22,78,187424
nation,England,E92000001,2023-02-21,56,187346
nation,England,E92000001,2023-02-20,68,187290
nation,England,E92000001,2023-02-19,52,187222
nation,England,E92000001,2023-02-18,65,187170
nation,England,E92000001,2023-02-17,71,187105
nation,England,E92000001,2023-02-16,68,187034
nation,England,E92000001,2023-02-15,55,186966
nation,England,E92000001,2023-02-14,71,186911
nation,England,E92000001,2023-02-13,46,186840
nation,England,E92000001,2023-02-12,56,186794
nation,England,E92000001,2023-02-11,57,186738
nation,England,E92000001,2023-02-10,69,186681
nation,England,E92000001,2023-02-09,49,186612
nation,England,E92000001,2023-02-08,63,186563
nation,England,E92000001,2023-02-07,60,186500
nation,England,E92000001,2023-02-06,49,186440
nation,England,E92000001,2023-02-05,65,186391
nation,England,E92000001,2023-02-04,52,186326
nation,England,E92000001,2023-02-03,58,186274
nation,England,E92000001,2023-02-02,69,186216
nation,England,E92000001,2023-02-01,61,186147
nation,England,E92000001,2023-01-31,56,186086
nation,England,E92000001,2023-01-30,56,186030
nation,England,E92000001,2023-01-29,64,185974
nation,England,E92000001,2023-01-28,62,185910
nation,England,E92000001,2023-01-27,68,185848
nation,England,E92000001,2023-01-26,63,185780
nation,England,E92000001,2023-01-25,54,185717
nation,England,E92000001,2023-01-24,71,185663
nation,England,E92000001,2023-01-23,59,185592
nation,England,E92000001,2023-01-22,69,185533
nation,England,E92000001,2023-01-21,65,185464
nation,England,E92000001,2023-01-20,66,185399
nation,England,E92000001,2023-01-19,71,185333
nation,England,E92000001,2023-01-18,74,185262
nation,England,E92000001,2023-01-17,73,185188
nation,England,E92000001,2023-01-16,93,185115
nation,England,E92000001,2023-01-15,87,185022
nation,England,E92000001,2023-01-14,86,184935
nation,England,E92000001,2023-01-13,83,184849
nation,England,E92000001,2023-01-12,103,184766
nation,England,E92000001,2023-01-11,77,184663
nation,England,E92000001,2023-01-10,87,184586
nation,England,E92000001,2023-01-09,108,184499
nation,England,E92000001,2023-01-08,103,184391
nation,England,E92000001,2023-01-07,99,184288
nation,England,E92000001,2023-01-06,88,184189
nation,England,E92000001,2023-01-05,115,184101
nation,England,E92000001,2023-01-04,117,183986
nation,England,E92000001,2023-01-03,114,183869
nation,England,E92000001,2023-01-02,106,183755
nation,England,E92000001,2023-01-01,110,183649
nation,England,E92000001,2022-12-31,129,183539
nation,England,E92000001,2022-12-30,130,183410
nation,England,E92000001,2022-12-29,100,183280
nation,England,E92000001,2022-12-28,110,183180
nation,England,E92000001,2022-12-27,114,183070
nation,England,E92000001,2022-12-26,104,182956
nation,England,E92000001,2022-12-25,106,182852
nation,England,E92000001,2022-12-24,117,182746
nation,England,E92000001,2022-12-23,103,182629
nation,England,E92000001,2022-12-22,83,182526
nation,England,E92000001,2022-12-21,87,182443
nation,England,E92000001,2022-12-20,98,182356
nation,England,E92000001,2022-12-19,96,182258
nation,England,E92000001,2022-12-18,88,182162
nation,England,E92000001,2022-12-17,76,182074
nation,England,E92000001,2022-12-16,72,181998
nation,England,E92000001,2022-12-15,43,181926
nation,England,E92000001,2022-12-14,81,181883
nation,England,E92000001,2022-12-13,61,181802
nation,England,E92000001,2022-12-12,56,181741
nation,England,E92000001,2022-12-11,58,181685
nation,England,E92000001,2022-12-10,60,181627
nation,England,E92000001,2022-12-09,53,181567
nation,England,E92000001,2022-12-08,57,181514
nation,England,E92000001,2022-12-07,52,181457
nation,England,E92000001,2022-12-06,59,181405
nation,England,E92000001,2022-12-05,54,181346
nation,England,E92000001,2022-12-04,30,181292
nation,England,E92000001,2022-12-03,47,181262
nation,England,E92000001,2022-12-02,42,181215
nation,England,E92000001,2022-12-01,48,181173
nation,England,E92000001,2022-11-30,37,181125
nation,England,E92000001,2022-11-29,39,181088
nation,England,E92000001,2022-11-28,49,181049
nation,England,E92000001,2022-11-27,45,181000
nation,England,E92000001,2022-11-26,35,180955
nation,England,E92000001,2022-11-25,39,180920
nation,England,E92000001,2022-11-24,43,180881
nation,England,E92000001,2022-11-23,48,180838
nation,England,E92000001,2022-11-22,43,180790
nation,England,E92000001,2022-11-21,44,180747
nation,England,E92000001,2022-11-20,54,180703
nation,England,E92000001,2022-11-19,46,180649
nation,England,E92000001,2022-11-18,52,180603
nation,England,E92000001,2022-11-17,47,180551
nation,England,E92000001,2022-11-16,43,180504
nation,England,E92000001,2022-11-15,58,180461
nation,England,E92000001,2022-11-14,56,180403
nation,England,E92000001,2022-11-13,49,180347
nation,England,E92000001,2022-11-12,37,180298
nation,England,E92000001,2022-11-11,56,180261
nation,England,E92000001,2022-11-10,45,180205
nation,England,E92000001,2022-11-09,52,180160
nation,England,E92000001,2022-11-08,58,180108
nation,England,E92000001,2022-11-07,64,180050
nation,England,E92000001,2022-11-06,48,179986
nation,England,E92000001,2022-11-05,63,179938
nation,England,E92000001,2022-11-04,79,179875
nation,England,E92000001,2022-11-03,70,179796
nation,England,E92000001,2022-11-02,67,179726
nation,England,E92000001,2022-11-01,68,179659
nation,England,E92000001,2022-10-31,64,179591
nation,England,E92000001,2022-10-30,88,179527
nation,England,E92000001,2022-10-29,81,179439
nation,England,E92000001,2022-10-28,75,179358
