,date,cumAdmissions,hospitalCases,covidOccupiedMVBeds,Vax_index,dailyCases
259,2020-12-17,169735,13131.0,900.0,0.32999999999999996,30159
260,2020-12-18,171169,12974.0,973.0,0.32999999999999996,32426
261,2020-12-19,172744,13037.0,991.0,0.32999999999999996,22195
262,2020-12-20,174444,13577.0,987.0,0.32999999999999996,29556
263,2020-12-21,176261,13251.0,1094.0,0.32999999999999996,43446
264,2020-12-22,178129,14811.0,1028.0,0.32999999999999996,41741
265,2020-12-23,179794,14661.0,969.0,0.32999999999999996,38383
266,2020-12-24,181365,14207.0,1122.0,0.32999999999999996,29287
267,2020-12-25,183061,14099.0,1071.0,0.32999999999999996,12926
268,2020-12-26,185053,13991.0,1044.0,0.32999999999999996,37462
269,2020-12-27,187188,14925.0,1233.0,0.32999999999999996,43250
270,2020-12-28,189563,16305.0,1157.0,0.32999999999999996,40845
271,2020-12-29,192090,17553.0,1307.0,0.32999999999999996,74058
272,2020-12-30,194289,18281.0,1458.0,0.32999999999999996,64243
273,2020-12-31,196168,17545.0,1463.0,0.32999999999999996,47824
274,2021-01-01,198414,19051.0,1500.0,0.32999999999999996,28879
275,2021-01-02,200658,19108.0,1605.0,0.32999999999999996,55428
276,2021-01-03,203230,20890.0,1738.0,0.32999999999999996,50664
277,2021-01-04,205819,21344.0,1764.0,0.32999999999999996,70920
278,2021-01-05,208524,20405.0,1965.0,0.32999999999999996,59600
279,2021-01-06,211640,22607.0,1963.0,0.32999999999999996,52752
280,2021-01-07,214782,23703.0,2156.0,0.32999999999999996,48132
281,2021-01-08,217580,23657.0,2271.0,0.32999999999999996,43494
282,2021-01-09,220409,23653.0,2199.0,0.32999999999999996,36419
283,2021-01-10,223148,25657.0,2346.0,0.32999999999999996,33749
284,2021-01-11,226046,25016.0,2317.0,0.32999999999999996,53519
285,2021-01-12,228991,26348.0,2639.0,0.32999999999999996,45968
286,2021-01-13,231820,27260.0,2610.0,0.32999999999999996,42303
287,2021-01-14,234522,27580.0,2654.0,0.32999999999999996,39658
288,2021-01-15,236985,27817.0,2894.0,0.32999999999999996,37879
289,2021-01-16,239712,28396.0,2923.0,0.32999999999999996,28413
290,2021-01-17,242208,27883.0,2844.0,0.32999999999999996,26976
291,2021-01-18,245150,29798.0,2844.0,0.32999999999999996,41935
292,2021-01-19,247988,27743.0,2916.0,0.32999999999999996,37055
