epoch,step,train_MAE,train_loss,valid_MAE,valid_loss
0,26,,,0.07772139459848404,0.0060431803576648235
0,26,0.08704785257577896,,,
1,49,,0.004246796481311321,,
1,53,,,0.03293513134121895,0.00120431964751333
1,53,0.04558531939983368,,,
2,80,,,0.04883002117276192,0.0025678439997136593
2,80,0.03312815725803375,,,
3,99,,0.00126172904856503,,
3,107,,,0.045748937875032425,0.002250170335173607
3,107,0.028811665251851082,,,
4,134,,,0.04451073333621025,0.0021307580173015594
4,134,0.026399940252304077,,,
5,149,,0.000703828816767782,,
5,161,,,0.040130581706762314,0.0017028377624228597
5,161,0.024570511654019356,,,
6,188,,,0.03301755338907242,0.0011803173692896962
6,188,0.02213243581354618,,,
7,199,,0.00038089038571342826,,
7,215,,,0.024463700130581856,0.0006581961060874164
7,215,0.019323628395795822,,,
8,242,,,0.011379852890968323,0.00015311030438169837
8,242,0.01592804491519928,,,
9,249,,0.00020609417697414756,,
9,269,,,0.0032063170801848173,1.9167206119163893e-05
9,269,0.01154066901654005,,,
10,296,,,0.007693885825574398,6.121565820649266e-05
10,296,0.00951844546943903,,,
11,299,,5.107551260152832e-05,,
11,323,,,0.0047087110579013824,2.2969819838181138e-05
11,323,0.007537337485700846,,,
12,349,,3.881148586515337e-05,,
12,350,,,0.0008176026749424636,1.0141131951968418e-06
12,350,0.0057729315012693405,,,
13,377,,,0.0007072679582051933,8.237566930802132e-07
13,377,0.006216996815055609,,,
14,399,,2.1112495232955553e-05,,
14,404,,,0.002433296525850892,6.7800124270434026e-06
14,404,0.004531918093562126,,,
15,431,,,0.0007200837135314941,8.473934940411709e-07
15,431,0.0040719592943787575,,,
16,449,,1.4966203707444947e-05,,
16,458,,,0.002826749812811613,8.900326974980999e-06
16,458,0.0036255614832043648,,,
17,485,,,0.0017862764652818441,3.98060319639626e-06
17,485,0.0038606550078839064,,,
18,499,,1.430661268386757e-05,,
18,512,,,0.003125307150185108,1.0495788956177421e-05
18,512,0.0035838657058775425,,,
19,539,,,0.001429717754945159,2.687331061679288e-06
19,539,0.0040985639207065105,,,
20,549,,3.514125637593679e-05,,
20,566,,,0.004207459278404713,1.8741806343314238e-05
20,566,0.003947338089346886,,,
21,593,,,0.0046668569557368755,2.2576190531253815e-05
21,593,0.004589558579027653,,,
22,599,,2.3273974875337444e-05,,
22,620,,,0.0018090035300701857,4.02485920858453e-06
22,620,0.0031655519269406796,,,
23,647,,,0.0018763317493721843,4.220075879857177e-06
23,647,0.0028369424398988485,,,
