Algorithm,MAE,MSE,MASE,Forecast Bias
RNN,10.4925,121.6037,111.3059,10.49
RNN (SA),1.35,2.0391,14.3205,1.35
Seq2Seq LSTM,1.0315,2.3848,10.9427,0.67
Seq2Seq LSTM (SA),1.5216,2.5993,16.1413,1.52
