,date,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,population,openstreetmap_id,latitude,longitude,region,epi_week
146,2020-05-26 00:00:00,100.0,15.0,13896.0,1938.0,2656980,151164,55.0,-1.866667,North East England,202022
147,2020-05-27 00:00:00,116.0,11.0,14012.0,1949.0,2656980,151164,55.0,-1.866667,North East England,202022
148,2020-05-28 00:00:00,51.0,12.0,14063.0,1961.0,2656980,151164,55.0,-1.866667,North East England,202022
149,2020-05-29 00:00:00,71.0,21.0,14134.0,1982.0,2656980,151164,55.0,-1.866667,North East England,202022
150,2020-05-30 00:00:00,47.0,8.0,14181.0,1990.0,2656980,151164,55.0,-1.866667,North East England,202022
151,2020-05-31 00:00:00,46.0,8.0,14227.0,1998.0,2656980,151164,55.0,-1.866667,North East England,202023
152,2020-06-01 00:00:00,69.0,3.0,14296.0,2001.0,2656980,151164,55.0,-1.866667,North East England,202023
153,2020-06-02 00:00:00,59.0,14.0,14355.0,2015.0,2656980,151164,55.0,-1.866667,North East England,202023
154,2020-06-03 00:00:00,51.0,8.0,14406.0,2023.0,2656980,151164,55.0,-1.866667,North East England,202023
155,2020-06-04 00:00:00,60.0,9.0,14466.0,2032.0,2656980,151164,55.0,-1.866667,North East England,202023
156,2020-06-05 00:00:00,43.0,12.0,14509.0,2044.0,2656980,151164,55.0,-1.866667,North East England,202023
157,2020-06-06 00:00:00,28.0,2.0,14537.0,2046.0,2656980,151164,55.0,-1.866667,North East England,202023
158,2020-06-07 00:00:00,17.0,9.0,14554.0,2055.0,2656980,151164,55.0,-1.866667,North East England,202024
159,2020-06-08 00:00:00,34.0,7.0,14588.0,2062.0,2656980,151164,55.0,-1.866667,North East England,202024
160,2020-06-09 00:00:00,38.0,3.0,14626.0,2065.0,2656980,151164,55.0,-1.866667,North East England,202024
161,2020-06-10 00:00:00,38.0,6.0,14664.0,2071.0,2656980,151164,55.0,-1.866667,North East England,202024
162,2020-06-11 00:00:00,23.0,3.0,14687.0,2074.0,2656980,151164,55.0,-1.866667,North East England,202024
163,2020-06-12 00:00:00,40.0,4.0,14727.0,2078.0,2656980,151164,55.0,-1.866667,North East England,202024
164,2020-06-13 00:00:00,31.0,1.0,14758.0,2079.0,2656980,151164,55.0,-1.866667,North East England,202024
165,2020-06-14 00:00:00,32.0,3.0,14790.0,2082.0,2656980,151164,55.0,-1.866667,North East England,202025
166,2020-06-15 00:00:00,32.0,0.0,14822.0,2082.0,2656980,151164,55.0,-1.866667,North East England,202025
167,2020-06-16 00:00:00,19.0,6.0,14841.0,2088.0,2656980,151164,55.0,-1.866667,North East England,202025
168,2020-06-17 00:00:00,19.0,0.0,14860.0,2088.0,2656980,151164,55.0,-1.866667,North East England,202025
169,2020-06-18 00:00:00,23.0,4.0,14883.0,2092.0,2656980,151164,55.0,-1.866667,North East England,202025
170,2020-06-19 00:00:00,16.0,0.0,14899.0,2092.0,2656980,151164,55.0,-1.866667,North East England,202025
171,2020-06-20 00:00:00,16.0,2.0,14915.0,2094.0,2656980,151164,55.0,-1.866667,North East England,202025
172,2020-06-21 00:00:00,4.0,5.0,14919.0,2099.0,2656980,151164,55.0,-1.866667,North East England,202026
173,2020-06-22 00:00:00,24.0,4.0,14943.0,2103.0,2656980,151164,55.0,-1.866667,North East England,202026
174,2020-06-23 00:00:00,26.0,3.0,14969.0,2106.0,2656980,151164,55.0,-1.866667,North East England,202026
175,2020-06-24 00:00:00,11.0,2.0,14980.0,2108.0,2656980,151164,55.0,-1.866667,North East England,202026
176,2020-06-25 00:00:00,13.0,3.0,14993.0,2111.0,2656980,151164,55.0,-1.866667,North East England,202026
177,2020-06-26 00:00:00,9.0,1.0,15002.0,2112.0,2656980,151164,55.0,-1.866667,North East England,202026
178,2020-06-27 00:00:00,13.0,3.0,15015.0,2115.0,2656980,151164,55.0,-1.866667,North East England,202026
179,2020-06-28 00:00:00,9.0,2.0,15024.0,2117.0,2656980,151164,55.0,-1.866667,North East England,202027
180,2020-06-29 00:00:00,10.0,0.0,15034.0,2117.0,2656980,151164,55.0,-1.866667,North East England,202027
181,2020-06-30 00:00:00,11.0,0.0,15045.0,2117.0,2656980,151164,55.0,-1.866667,North East England,202027
182,2020-07-01 00:00:00,7.0,0.0,15052.0,2117.0,2656980,151164,55.0,-1.866667,North East England,202027
183,2020-07-02 00:00:00,9.0,1.0,15061.0,2118.0,2656980,151164,55.0,-1.866667,North East England,202027
184,2020-07-03 00:00:00,8.0,0.0,15069.0,2118.0,2656980,151164,55.0,-1.866667,North East England,202027
185,2020-07-04 00:00:00,9.0,1.0,15078.0,2119.0,2656980,151164,55.0,-1.866667,North East England,202027
186,2020-07-05 00:00:00,4.0,0.0,15082.0,2119.0,2656980,151164,55.0,-1.866667,North East England,202028
187,2020-07-06 00:00:00,11.0,0.0,15093.0,2119.0,2656980,151164,55.0,-1.866667,North East England,202028
188,2020-07-07 00:00:00,12.0,0.0,15105.0,2119.0,2656980,151164,55.0,-1.866667,North East England,202028
189,2020-07-08 00:00:00,12.0,0.0,15117.0,2119.0,2656980,151164,55.0,-1.866667,North East England,202028
190,2020-07-09 00:00:00,16.0,0.0,15133.0,2119.0,2656980,151164,55.0,-1.866667,North East England,202028
191,2020-07-10 00:00:00,10.0,0.0,15143.0,2119.0,2656980,151164,55.0,-1.866667,North East England,202028
192,2020-07-11 00:00:00,7.0,0.0,15150.0,2119.0,2656980,151164,55.0,-1.866667,North East England,202028
193,2020-07-12 00:00:00,1.0,0.0,15151.0,2119.0,2656980,151164,55.0,-1.866667,North East England,202029
194,2020-07-13 00:00:00,9.0,0.0,15160.0,2119.0,2656980,151164,55.0,-1.866667,North East England,202029
195,2020-07-14 00:00:00,12.0,0.0,15172.0,2119.0,2656980,151164,55.0,-1.866667,North East England,202029
196,2020-07-15 00:00:00,17.0,0.0,15189.0,2119.0,2656980,151164,55.0,-1.866667,North East England,202029
197,2020-07-16 00:00:00,16.0,0.0,15205.0,2119.0,2656980,151164,55.0,-1.866667,North East England,202029
198,2020-07-17 00:00:00,10.0,1.0,15215.0,2120.0,2656980,151164,55.0,-1.866667,North East England,202029
199,2020-07-18 00:00:00,4.0,0.0,15219.0,2120.0,2656980,151164,55.0,-1.866667,North East England,202029
200,2020-07-19 00:00:00,7.0,1.0,15226.0,2121.0,2656980,151164,55.0,-1.866667,North East England,202030
201,2020-07-20 00:00:00,11.0,0.0,15237.0,2121.0,2656980,151164,55.0,-1.866667,North East England,202030
202,2020-07-21 00:00:00,14.0,0.0,15251.0,2121.0,2656980,151164,55.0,-1.866667,North East England,202030
203,2020-07-22 00:00:00,17.0,0.0,15268.0,2121.0,2656980,151164,55.0,-1.866667,North East England,202030
204,2020-07-23 00:00:00,10.0,0.0,15278.0,2121.0,2656980,151164,55.0,-1.866667,North East England,202030
205,2020-07-24 00:00:00,6.0,0.0,15284.0,2121.0,2656980,151164,55.0,-1.866667,North East England,202030
206,2020-07-25 00:00:00,5.0,0.0,15289.0,2121.0,2656980,151164,55.0,-1.866667,North East England,202030
207,2020-07-26 00:00:00,6.0,0.0,15295.0,2121.0,2656980,151164,55.0,-1.866667,North East England,202031
208,2020-07-27 00:00:00,9.0,0.0,15304.0,2121.0,2656980,151164,55.0,-1.866667,North East England,202031
209,2020-07-28 00:00:00,6.0,0.0,15310.0,2121.0,2656980,151164,55.0,-1.866667,North East England,202031
210,2020-07-29 00:00:00,23.0,0.0,15333.0,2121.0,2656980,151164,55.0,-1.866667,North East England,202031
211,2020-07-30 00:00:00,16.0,0.0,15349.0,2121.0,2656980,151164,55.0,-1.866667,North East England,202031
212,2020-07-31 00:00:00,12.0,0.0,15361.0,2121.0,2656980,151164,55.0,-1.866667,North East England,202031
213,2020-08-01 00:00:00,9.0,0.0,15370.0,2121.0,2656980,151164,55.0,-1.866667,North East England,202031
214,2020-08-02 00:00:00,16.0,0.0,15386.0,2121.0,2656980,151164,55.0,-1.866667,North East England,202032
215,2020-08-03 00:00:00,21.0,0.0,15407.0,2121.0,2656980,151164,55.0,-1.866667,North East England,202032
216,2020-08-04 00:00:00,22.0,0.0,15429.0,2121.0,2656980,151164,55.0,-1.866667,North East England,202032
217,2020-08-05 00:00:00,31.0,0.0,15460.0,2121.0,2656980,151164,55.0,-1.866667,North East England,202032
218,2020-08-06 00:00:00,25.0,0.0,15485.0,2121.0,2656980,151164,55.0,-1.866667,North East England,202032
219,2020-08-07 00:00:00,16.0,0.0,15501.0,2121.0,2656980,151164,55.0,-1.866667,North East England,202032
220,2020-08-08 00:00:00,13.0,0.0,15514.0,2121.0,2656980,151164,55.0,-1.866667,North East England,202032
221,2020-08-09 00:00:00,15.0,0.0,15529.0,2121.0,2656980,151164,55.0,-1.866667,North East England,202033
222,2020-08-10 00:00:00,24.0,0.0,15553.0,2121.0,2656980,151164,55.0,-1.866667,North East England,202033
223,2020-08-11 00:00:00,50.0,1.0,15603.0,2122.0,2656980,151164,55.0,-1.866667,North East England,202033
224,2020-08-12 00:00:00,40.0,0.0,15643.0,2122.0,2656980,151164,55.0,-1.866667,North East England,202033
