epoch,step,train_MAE,train_loss,valid_MAE,valid_loss
0,26,,,0.033541202545166016,0.001125016831792891
0,26,0.07174499332904816,,,
1,49,,0.00011344318045303226,,
1,53,,,0.00040627334965392947,1.6959693027729372e-07
1,53,0.01232646219432354,,,
2,80,,,0.0013554167235270143,1.841693119786214e-06
2,80,0.0030325427651405334,,,
3,99,,1.1889704865097883e-06,,
3,107,,,0.0003039188450202346,9.690566571407544e-08
3,107,0.001030577695928514,,,
4,134,,,0.00020619886345230043,4.705692902007286e-08
4,134,0.0007941580843180418,,,
5,149,,1.5342349115599063e-06,,
5,161,,,0.00011839338549179956,1.855602427269787e-08
5,161,0.0008174459217116237,,,
6,188,,,6.019467764417641e-05,4.802835462669464e-09
6,188,0.0008056698134168983,,,
7,199,,1.4729062058904674e-06,,
7,215,,,6.77558418828994e-05,6.063240576281714e-09
7,215,0.0008145187166519463,,,
8,242,,,6.799739639973268e-05,7.171537586003751e-09
8,242,0.000787781726103276,,,
9,249,,1.2819937182939611e-06,,
9,269,,,0.00020729241077788174,4.750930315822188e-08
9,269,0.0007977809873409569,,,
10,296,,,0.00023722308105789125,6.081396008994489e-08
10,296,0.0008195386035367846,,,
11,299,,6.704433985760261e-07,,
11,323,,,8.59532956383191e-05,1.0955470308715576e-08
11,323,0.0008017090731300414,,,
12,349,,1.4994336652307538e-06,,
12,350,,,0.00019851849356200546,4.394890140702046e-08
12,350,0.0007839821628294885,,,
13,377,,,0.0003352379717398435,1.1692367252180702e-07
13,377,0.0008119536214508116,,,
14,399,,1.4041872873349348e-06,,
14,404,,,0.00031594018219038844,1.0435752528792364e-07
14,404,0.0008048245799727738,,,
15,431,,,0.000502920476719737,2.5746791720848705e-07
15,431,0.0008088589529506862,,,
16,449,,1.222659193444997e-06,,
16,458,,,0.00014978987746872008,2.6975220279723544e-08
16,458,0.0008121664286591113,,,
