Algorithm,MAE,MSE,MASE,Forecast Bias
Vanilla RNN,24.1574,730.8169,80.9489,24.16
Vanilla LSTM,2.9634,11.0565,9.93,0.2
Vanilla GRU,2.8767,11.7307,9.6395,2.84
Optimized GRU (SA),1.0501,1.5349,3.5189,0.13
Seq2Seq LSTM,3.7382,20.609,12.5262,3.44
Optimized Seq2Seq GRU (SA),3.1025,12.5089,10.3962,-0.95
