Algorithm,MAE,MSE,MASE,Forecast Bias
Vanilla RNN,34.2246,1290.0535,48.5026,34.22
Vanilla LSTM,10.0573,112.3057,14.253,-10.06
Vanilla GRU,23.3642,681.6525,33.1115,23.36
Optimized GRU (SA),1.2497,3.216,1.7711,-0.41
Seq2Seq LSTM,1.6169,4.3177,2.2914,-0.84
Optimized Seq2Seq GRU (SA),3.7396,20.1665,5.2997,-3.72
