Algorithm,MAE,MSE,MASE,Forecast Bias
Vanilla RNN,5.0575,26.5999,20.4474,-5.06
Vanilla LSTM,5.036,25.6728,20.3603,-5.04
Vanilla GRU,4.7395,23.9237,19.1616,-4.74
Optimized GRU (SA),6.4535,45.341,26.0913,-2.8
Seq2Seq LSTM,5.2212,28.0718,21.1091,-5.22
Optimized Seq2Seq RNN (SA),3.3735,12.5764,13.6391,-3.37
