Algorithm,MAE,MSE,MASE,Forecast Bias
Vanilla RNN,10.4925,121.6037,111.3059,10.49
Vanilla LSTM,1.0534,1.7182,11.1746,0.05
Vanilla GRU,0.971,1.3523,10.3006,0.8
Optimized RNN (SA),1.519,2.505,16.1133,1.52
Seq2Seq LSTM,0.9947,2.2611,10.5516,0.76
Optimized Seq2Seq RNN (SA),0.986,1.3707,10.4601,0.62
