Algorithm,MAE,MSE,MASE,Forecast Bias
Vanilla RNN,25.009,757.0472,18.8127,25.01
Vanilla LSTM,3.2487,18.1899,2.4438,1.71
Vanilla GRU,9.3261,136.1306,7.0154,8.99
Optimized GRU (SA),2.8229,14.9796,2.1235,-1.08
Seq2Seq LSTM,3.9671,27.4265,2.9842,2.61
Optimized Seq2Seq RNN (SA),3.9764,26.1452,2.9912,2.38
