Algorithm,MAE,MSE,MASE,Forecast Bias
Vanilla RNN,23.2353,667.3055,147.5378,23.24
Vanilla LSTM,3.5638,17.8894,22.6292,-2.93
Vanilla GRU,2.1315,6.2743,13.5345,1.88
Optimized GRU (SA),1.1901,2.3695,7.5569,-1.0
Seq2Seq LSTM,1.7704,3.9866,11.2413,-0.44
Optimized Seq2Seq LSTM (SA),2.2185,6.4152,14.0867,1.9
