epoch,step,train_MAE,train_loss,valid_MAE,valid_loss
0,26,,,0.039662621915340424,0.0015817763051018119
0,26,0.0739194005727768,,,
1,49,,0.0038884435780346394,,
1,53,,,0.04577742516994476,0.0021042253356426954
1,53,0.04673891142010689,,,
2,80,,,0.0428946278989315,0.0018486017361283302
2,80,0.045561809092760086,,,
3,99,,0.0029330728575587273,,
3,107,,,0.04547258839011192,0.0020764085929840803
3,107,0.04572788625955582,,,
4,134,,,0.0479174479842186,0.0023047346621751785
4,134,0.04606849327683449,,,
5,149,,0.005678585730493069,,
5,161,,,0.034115519374608994,0.0011725213844329119
5,161,0.04622552916407585,,,
6,188,,,0.06020643934607506,0.0036334674805402756
6,188,0.04689926281571388,,,
7,199,,0.0054985349997878075,,
7,215,,,0.04633345454931259,0.0021554415579885244
7,215,0.04557359218597412,,,
8,242,,,0.06741391122341156,0.0045532891526818275
8,242,0.04668629169464111,,,
9,249,,0.003335759975016117,,
9,269,,,0.028999587520956993,0.0008496290538460016
9,269,0.04709054157137871,,,
10,296,,,0.04400944337248802,0.0019454836146906018
10,296,0.04559824988245964,,,
11,299,,0.002541712950915098,,
11,323,,,0.06265673786401749,0.003934518434107304
11,323,0.04580862075090408,,,
12,349,,0.009528810158371925,,
12,350,,,0.028636213392019272,0.0008286855882033706
12,350,0.047348931431770325,,,
13,377,,,0.05177217349410057,0.0026890102308243513
13,377,0.04603642225265503,,,
14,399,,0.006722764112055302,,
14,404,,,0.046800002455711365,0.002198893344029784
14,404,0.04693768918514252,,,
15,431,,,0.043517325073480606,0.001902410644106567
15,431,0.04632424935698509,,,
16,449,,0.0027157249860465527,,
16,458,,,0.05829509347677231,0.0034069709945470095
16,458,0.045896805822849274,,,
17,485,,,0.04801302030682564,0.0023139033000916243
17,485,0.04676864296197891,,,
18,499,,0.006781785283237696,,
18,512,,,0.034710370004177094,0.001213462557643652
18,512,0.046392835676670074,,,
19,539,,,0.054935719817876816,0.003026585793122649
19,539,0.04559428617358208,,,
20,549,,0.004820345435291529,,
20,566,,,0.053603824228048325,0.002882022177800536
20,566,0.0464068204164505,,,
21,593,,,0.052024420350790024,0.0027151929680258036
21,593,0.04569503292441368,,,
22,599,,0.001695791957899928,,
22,620,,,0.042021796107292175,0.0017744841752573848
22,620,0.04576142132282257,,,
