epoch,step,train_MAE,train_loss,valid_MAE,valid_loss
0,13,,,0.0750829428434372,0.005643415730446577
0,13,0.08653648942708969,,,
1,27,,,0.011177108623087406,0.0001292689557885751
1,27,0.03620338812470436,,,
2,41,,,0.020296603441238403,0.0004212965432088822
2,41,0.020222246646881104,,,
3,49,,0.0004087949055247009,,
3,55,,,0.009125318378210068,8.551682549295947e-05
3,55,0.014333543367683887,,,
4,69,,,0.01201597973704338,0.00014855297922622412
4,69,0.008933245204389095,,,
5,83,,,0.004349404945969582,2.0745826986967586e-05
5,83,0.007683671545237303,,,
6,97,,,0.0062708198092877865,4.046029789606109e-05
6,97,0.004928944166749716,,,
7,99,,3.653139356174506e-05,,
7,111,,,0.0015798822278156877,3.925419605366187e-06
7,111,0.005040671210736036,,,
8,125,,,0.0041409083642065525,1.895796594908461e-05
8,125,0.003958838526159525,,,
9,139,,,0.0019162208773195744,4.620032996172085e-06
9,139,0.0037603622768074274,,,
10,149,,1.955592233571224e-05,,
10,153,,,0.0048821475356817245,2.5243651180062443e-05
10,153,0.0034190730657428503,,,
11,167,,,0.0038392518181353807,1.594532841409091e-05
11,167,0.005102390889078379,,,
12,181,,,0.0008174609974958003,1.2788873391400557e-06
12,181,0.006698416545987129,,,
13,195,,,0.003178055863827467,1.1414905202400405e-05
13,195,0.005113374441862106,,,
14,199,,2.1474104869412258e-05,,
14,209,,,0.0007265382446348667,7.642298101018241e-07
14,209,0.0033218623138964176,,,
15,223,,,0.001069462625309825,1.8919083686341764e-06
15,223,0.0031105270609259605,,,
16,237,,,0.0010716936085373163,1.5954944956320105e-06
16,237,0.003944342490285635,,,
17,249,,3.00547580991406e-05,,
17,251,,,0.0007694572559557855,9.751261131896172e-07
17,251,0.003952306229621172,,,
18,265,,,0.0017954942304641008,4.0079476093524136e-06
18,265,0.0024216542951762676,,,
19,279,,,0.0021434519439935684,5.547611635847716e-06
19,279,0.0037402308080345392,,,
20,293,,,0.005439340136945248,3.0448594770859927e-05
20,293,0.00490083172917366,,,
21,299,,1.0735352589108516e-05,,
21,307,,,0.0009692604071460664,1.484128688389319e-06
21,307,0.0024985086638480425,,,
22,321,,,0.001092757098376751,1.8250480025017168e-06
22,321,0.002572107594460249,,,
23,335,,,0.001057849614880979,1.5589052964060102e-06
23,335,0.0029556462541222572,,,
24,349,,3.932021354557946e-05,,
24,349,,,0.007774005644023418,6.134203431429341e-05
24,349,0.0048960973508656025,,,
25,363,,,0.006116146687418222,3.817437755060382e-05
25,363,0.006520270835608244,,,
26,377,,,0.0009430688805878162,1.525006837255205e-06
26,377,0.004863722715526819,,,
27,391,,,0.001218836521729827,2.193124146288028e-06
27,391,0.0037799589335918427,,,
28,399,,1.4397772247320972e-05,,
28,405,,,0.0012952523538842797,2.2272993192018475e-06
28,405,0.0039732800796628,,,
29,419,,,0.00282695097848773,8.76703779795207e-06
29,419,0.0024779716040939093,,,
30,433,,,0.0019874745048582554,4.760224328492768e-06
30,433,0.0024173413403332233,,,
31,447,,,0.003510227892547846,1.3163127732696012e-05
31,447,0.0029773833230137825,,,
32,449,,1.0939662388409488e-05,,
32,461,,,0.004463897552341223,2.0749499526573345e-05
32,461,0.004056010395288467,,,
33,475,,,0.00581302959471941,3.458480568951927e-05
33,475,0.005685967393219471,,,
34,489,,,0.0007526790723204613,8.27174915229989e-07
34,489,0.0028760693967342377,,,
